event_id,discipline,division_label,division_gender,division_class,division_age_band,event_name,place,rider_name,nationality,score_or_time,notes,sources,confidence,citation_status
air-and-style--1994-a,big-air,,mixed,open,,,1,Reto Lamm,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1994-a,big-air,,mixed,open,,,2,Bryan Iguchi,,,"[tie recorded by the source: Iguchi and Palmer finished punktegleich in 2nd, so the inaugural edition has no 3rd place]","{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1994-a,big-air,,mixed,open,,,2,Shaun Palmer,,,"[tie recorded by the source: Iguchi and Palmer finished punktegleich in 2nd, so the inaugural edition has no 3rd place]","{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1994-b,big-air,,mixed,open,,,1,Ingemar Backman,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1994-b,big-air,,mixed,open,,,2,Johan Olofsson,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1994-b,big-air,,mixed,open,,,3,Terje Håkonsen,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1995,big-air,,mixed,open,,,1,Terje Håkonsen,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1995,big-air,,mixed,open,,,2,Jamie Lynn,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1995,big-air,,mixed,open,,,3,Daniel Franck,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1996,big-air,,mixed,open,,,1,Fabien Rohrer,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1996,big-air,,mixed,open,,,2,Daniel Franck,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1996,big-air,,mixed,open,,,3,Johan Olofsson,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1997,big-air,,mixed,open,,,1,Jim Rippey,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1997,big-air,,mixed,open,,,2,Jamie Lynn,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1997,big-air,,mixed,open,,,3,Michi Albin,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1997,quarterpipe,,mixed,open,,,1,Terje Håkonsen,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1997,quarterpipe,,mixed,open,,,2,Sebu Kuhlberg,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1997,quarterpipe,,mixed,open,,,3,Michi Albin,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1998,big-air,,mixed,open,,,1,Ingemar Backman,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1998,big-air,,mixed,open,,,2,Michi Albin,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1998,big-air,,mixed,open,,,3,Thomas Eberharter,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1999,big-air,,men,open,,,1,Stefan Gimpl,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1999,big-air,,men,open,,,2,Andrew Crawford,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1999,big-air,,men,open,,,3,David Benedek,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--1999,quarterpipe,,men,open,,,1,Trevor Andrew,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1999,quarterpipe,,men,open,,,2,Joachim Köffler,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1999,quarterpipe,,men,open,,,3,Wolfgang Nyvelt,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1999,quarterpipe,,women,open,,,1,Pauline Richon,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1999,quarterpipe,,women,open,,,2,Nicola Pederzolli,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--1999,quarterpipe,,women,open,,,3,Anne Molin Kongsgaard,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,big-air,,men,open,,,1,Stefan Gimpl,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2000,big-air,,men,open,,,2,Roger Hjelmstadstuen,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2000,big-air,,men,open,,,3,Jussi Oksanen,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2000,other,,men,open,,,1,Mike Michaelchuck,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,other,,men,open,,,2,Wolfgang Nyvelt,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,other,,men,open,,,3,Romain de Marchi,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,other,,women,open,,,1,Pauline Richon,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,other,,women,open,,,2,Tina Birbaum,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2000,other,,women,open,,,3,Michelle Taggart,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2001,big-air,,men,open,,,1,Stefan Gimpl,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2001,big-air,,men,open,,,2,Darius Heristchian,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2001,big-air,,men,open,,,3,Ingemar Backman,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2001,other,,men,open,,,1,Markku Koski,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2001,other,,men,open,,,2,Martin Černík,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2001,other,,men,open,,,3,Thomas Rechsi,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",likely,live-source
air-and-style--2001,other,,women,open,,,1,Pauline Richon,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2001,other,,women,open,,,2,Nicola Pederzolli,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2001,other,,women,open,,,3,Caroline Ehrenstrasser,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen""}",verified,live-source
air-and-style--2002,big-air,,mixed,open,,,1,David Benedek,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2002,big-air,,mixed,open,,,2,Shaun White,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2002,big-air,,mixed,open,,,3,Marc-André Tarte,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
air-and-style--2003,big-air,,mixed,open,,,1,Shaun White,,,,"{""https://de.wikipedia.org/wiki/Air_%26_Style/Wertungen"",""https://en.wikipedia.org/wiki/Air_%26_Style""}",verified,live-source
