brand,model,first_year_live,note,reviewer_decision
Barfoot,161 twintip,1990,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Barfoot,Barfoot Snoboards 1981,1981,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Barfoot,Kloek,1983,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Burton,Terje Haakonsen,1994,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Gentemstick,Flock,2000,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Gnu,Space Case,2019,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Korua,Tugboat,2014,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,Douhboy Shredder,1991,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,Grocer,1991,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,Innercourse Asymmetrical,1991,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,Lost Rocket,2020,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,MC,1993,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Lib Tech,MC Bus,1991,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Never Summer,Snowtrooper,2010,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Outland,Roundtail,1986,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Outland,Swallowtail,1986,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Palmer,Carbon,1990,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Palmer,Channel,1990,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Ride,Algorhythm,2010,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Rome,Mod Rocker,2021,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Rome,National,2010,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Salomon,Super 8,2010,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Dealer's Choice,2016,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Juice,2015,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Kinetic,2006,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Noah Salasnek,1990,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Noah's Ark,1995,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Quest,2009,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Shaun Palmer Clown,1991,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Shaun Palmer Pimp,1993,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,SoFun,2016,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Terry Kidwell 1635,1989,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Terry Kidwell 1650,1986,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Terry Kidwell RT2,2018,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Tom Sims Pro,2017,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Sims,Ultimate Swallow Tail,1987,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Snurfer,Snurfer,1967,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Storm Snowboards,Cyclone,1988,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
Storm Snowboards,Shredder,1988,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
YES,PYL,2010,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
YES,The Basic,2020,"Live in boards; absent from the researched catalog. Research and add, or confirm it is a member-created row.",
