brand,model_ocr,reason,brand_in_catalog,catalog_season,catalog_model_year,source_docId,source_url,note
DC,Media Blitz,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
DC,Space Echo,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Dinosaurs Will Die,Brewster,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Dinosaurs Will Die); new model sourced Method 18.1 (MY2018). Human verify.
Dinosaurs Will Die,Perry,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Dinosaurs Will Die); new model sourced Method 18.1 (MY2018). Human verify.
The Interior Plain Project,The Honalee,BRAND_NEW,no,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand absent from catalog (boutique)
The Interior Plain Project,The Odessa,BRAND_NEW,no,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand absent from catalog (boutique)
K2,Daniel Franck Whales,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Never Summer,Insta/Gator,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Rome,National,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Rome,Blackjack,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Salomon,Sickstick,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
Smokin,Pillow Monster,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Smokin); new model sourced Method 18.1 (MY2018). Human verify.
Smokin,Jetson,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Smokin); new model sourced Method 18.1 (MY2018). Human verify.
Vimana,The Continental Directional,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Vimana); new model sourced Method 18.1 (MY2018). Human verify.
Vimana,B-Rage,MODEL_NEW_CANDIDATE,yes (zero-models),2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,zero-model brand (Vimana); new model sourced Method 18.1 (MY2018). Human verify.
YES,PYL,MODEL_NEW_CANDIDATE,yes,2017/18 (18.1),2018,181_boards_guide,https://issuu.com/method_magazine/docs/181_boards_guide,brand confirmed; model not in catalog. Sourced Method 18.1 (MY2018). Human verify.
