series_id,series_name,former_names,category,governing_body,first_year,last_year,status,home_venue,country,region,disciplines,significance,sources,confidence,source_file
a-robs-smash-life-banked-slalom,A-Rob's Smash Life Banked Slalom,,grassroots-contest,independent,,,active,Lost Trail Powder Mountain,USA,north-america,banked-slalom,"Fundraiser banked slalom at Lost Trail, Montana celebrating the late snowboarders Aaron Robinson and Dillon Candelaria. The 2026 edition is listed for March 21.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
air-and-style,Air + Style,Flying High Air & Style Contest | Red Bull Air & Style | Quiksilver Air & Style | G-Shock Air & Style | Nokia Air & Style | Billabong Air & Style | Nike 6.0 Air & Style | Oakley & Shaun White Present Air & Style | Opel Air + Style,major-contest,independent,1994,2019,dormant,,multiple,global,big-air | quarterpipe,"Started at the Bergisel ski-jump stadium in Innsbruck by Charly Weger and Andrew Hourmont as a single straight-jump contest with a USD 10,000 purse, and grew into the biggest stadium big air of the 1990s and 2000s. A fatal crowd crush after the 4 December 1999 edition killed five people (a sixth died four years later) and led the city of Innsbruck to refuse further events, moving the contest to Seefeld (2000-2004) and then Munich (2005-2007). It was a TTR 6Star and later became its own multi-city tour with stops in Beijing (from 2010) and Los Angeles (from 2015). Shaun White became majority owner in 2014. Edition numbering is inconsistent between sources.",https://en.wikipedia.org/wiki/Air_%26_Style | https://de.wikipedia.org/wiki/Air_%26_Style | https://austria-forum.org/af/AustriaWiki/Air_&_Style | https://whitelines.com/events/air-style-innsbruck | https://www.innsbruck.info/blog/en/events/air-and-style2016/ | https://www.tt.com/artikel/16237751/das-erbe-des-air-style-snowboarder-fliegen-wieder-auf-bergisel-ab | https://collectivemag.de/air-style-vom-bergisel-stadion-in-die-ganze-welt-pid16548/,verified,world-tours
air-nation-freestyle-tour,Air Nation Freestyle Tour,Sport Chek Air Nation Freestyle Tour,tour-series,Canada Snowboard,,,active,,Canada,north-america,slopestyle | halfpipe | big-air | rail-jam,"Canada Snowboard's national freestyle tour. Recurring stops have included Sun Peaks, Mont Tremblant, Stoneham, Mt St Louis Moonstone, Horseshoe Valley and WinSport Canada Olympic Park in Calgary; the final stop normally carries the national championship.",https://www.canadasnowboard.ca/en/events/freestyletour/ | https://www.canadasnowboard.ca/en/news/?id=1213 | https://www.canadasnowboard.ca/en/news/?id=1259,verified,canada
argentina-snowboard-tour,Argentina Snowboard Tour,AST,tour-series,Asociacion Argentina de Snowboard (AAS),,,unconfirmed,,Argentina,south-america,big-air | slopestyle,"Described by the WSF as the largest circuit of snowboard events in South America, run by Argentina's national snowboard association with World Snowboard Tour ranking points. Stops mix urban big airs in Buenos Aires with Patagonian and Andean resorts (Cerro Chapelco, Cerro Bayo, Cerro Catedral, La Hoya); most are open entry, with one invitational.",https://www.worldsnowboardfederation.org/the-argentina-snowboard-tour-ast/ | https://www.worldsnowboardfederation.org/third-tour-stop-argentina-snowboard-tour-2014/,likely,intl-other
atlas-open-val-saint-come,Atlas Open,Coupe Val Saint-Come | Royal Rumble,legacy-contest,independent,1993,,unconfirmed,Val Saint-Come,Canada,north-america,other,"Long-running Quebec contest at Val Saint-Come, first held in 1993 and previously known as the Coupe Val St-Come and the Royal Rumble, per SnowboardQuebec's history of the sport in the province. Disciplines and end date not sourced.",https://www.snowboardquebec.com/histoire/,likely,canada
audi-nines,Audi Nines,Nine Knights | Nine Queens | Knights & Queens | Suzuki Nine Royals | The Nines,major-contest,independent,2008,,unconfirmed,,multiple,europe,big-air | hip | slopestyle | other,"Invitational session founded by Nico Zacek at the Nebelhorn, Oberstdorf in 2008 as a nine-rider freeski gathering. Nine Queens (women) was added at Serfaus-Fiss-Ladis in 2011; Nine Knights moved to Livigno in 2012; snowboarders joined the roster in 2014 when Knights and Queens were first combined. Rebranded Nine Royals in 2017 (Watles) and Audi Nines from 2018 (Soelden/Obergurgl). Riders are judged on custom jump, hip and transition features rather than a fixed course format.",https://www.downdays.eu/articles/audi-nines-retrospective/,likely,intl-other
audi-snowboard-series,Audi Snowboard Series,,tour-series,Swiss-Ski,,,unconfirmed,,Switzerland,europe,slopestyle | halfpipe | boardercross | other,"The Swiss federation's national snowboard tour, more than 30 events a season across freestyle, boardercross and race, positioned as a junior pathway to the international elite. The Swiss Championships in all three disciplines close the series.",https://www.worldsnowboardfederation.org/audi-snowboard-series/,likely,intl-other
b4bc-snowboard-and-music-festival,B4BC Snowboard + Music Festival,,grassroots-contest,independent,1996,,dormant,,USA,north-america,,"Boarding for Breast Cancer's founding event. B4BC was created in 1996 by Lisa Hudson with Dawn Kish, Kathleen Gasparini and others in memory of Monica Steward, a 26-year-old snowboarder who died of breast cancer after a delayed diagnosis; the first B4BC Snowboard + Music Festival was held in April 1996 with pro riders Tina Basich and Shannon Dunn as spokeswomen. B4BC states the festivals have raised over $1,000,000 since 1996. The competition format of the festivals is not stated in the sources found, and the snowboard festival no longer appears on B4BC's current events calendar, which is now skate- and clinic-led (Love Your Peaks winter series, Summer Skate Series).",https://b4bc.org/about/ | https://b4bc.org/events/,likely,us-grassroots
baldy-banked-slalom,Baldy Banked Slalom,,grassroots-contest,independent,,,active,Sun Valley Resort,USA,north-america,banked-slalom,"Banked slalom on Bald Mountain at Sun Valley, Idaho. Local Freshies describes the March 7, 2026 edition as 'now in its 14th year'.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
bc-snowboard-provincial-series,BC Snowboard Provincial Series,Ride On Provincial Series,grassroots-contest,BC Snowboard,,,active,,Canada,north-america,slopestyle | boardercross,"British Columbia's provincial competition series, run by BC Snowboard (based in Kelowna) in slopestyle and snowboardcross, with an overall series title. Host resorts in recent seasons have been Big White, Silver Star, Sun Peaks and Whistler Blackcomb. BC Snowboard also sanctions the Neil Edgeworth Memorial Banked Slalom and hosts NorAm, national championship and para World Cup events.",https://www.bcsnowboard.com/events/ | https://www.bcsnowboard.com/about/ | https://www.bcsnowboard.com/2025-event-results/ | https://www.bcsnowboard.com/events/provincial-events/,verified,canada
